Satellite passes / Orbitron 3.71 / www.stoff.pl

Location      : HN (105.5239° E, 20.9798° N)
Time zone     : UTC +7:00
Search period : 2023-11-06 08:18:48 - 1 days
                2023-11-07 08:18:48
Conditions    : Maximum sun elevation = None
                Minimum sat elevation = 15 deg
                Illumination NOT required

Time                Satellite              Azm  Elv  Mag Range S.Azm S.Elv
2023-11-07 12:25:11 YAOGAN-30 K          349.2 15.4  ecl  1900 142.2  44.7
2023-11-07 12:25:50 YAOGAN-30 K          359.6 15.0  ecl  1900 142.2  44.7

2023-11-07 14:07:14 YAOGAN-36 01B        327.9 15.0  ecl  1900 142.2  44.7
2023-11-07 14:09:40 YAOGAN-36 01B         24.3 30.5  ecl  1900 142.2  44.7
2023-11-07 14:12:05 YAOGAN-36 01B         80.7 15.0  ecl  1900 142.2  44.7

2023-11-07 14:39:38 YAOGAN-36 01C        338.2 15.0  ecl  1900 142.2  44.7
2023-11-07 14:41:43 YAOGAN-36 01C         21.0 22.8  ecl  1900 142.2  44.7
2023-11-07 14:43:48 YAOGAN-36 01C         63.7 15.0  ecl  1900 142.2  44.7

2023-11-07 14:52:09 YAOGAN-30 AA         357.2 15.0  ecl  1900 142.2  44.7
2023-11-07 14:53:03 YAOGAN-30 AA          11.8 15.8  ecl  1900 142.2  44.7
2023-11-07 14:53:57 YAOGAN-30 AA          26.4 15.0  ecl  1900 142.2  44.7

2023-11-07 15:42:47 YAOGAN-35 B          314.8 15.0  ecl  1900 142.2  44.7
2023-11-07 15:45:44 YAOGAN-35 B           27.3 48.9  ecl  1900 142.2  44.7
2023-11-07 15:48:41 YAOGAN-35 B           99.7 15.0  ecl  1900 142.2  44.7

2023-11-07 15:48:19 YAOGAN-30 K          330.8 15.0  ecl  1900 142.2  44.7
2023-11-07 15:51:06 YAOGAN-30 K           20.7 26.8  ecl  1900 142.2  44.7
2023-11-07 15:53:53 YAOGAN-30 K           70.7 15.0  ecl  1900 142.2  44.7

2023-11-07 15:52:03 YAOGAN-30 H          328.6 15.0  ecl  1900 142.2  44.7
2023-11-07 15:54:57 YAOGAN-30 H           21.6 28.8  ecl  1900 142.2  44.7
2023-11-07 15:57:51 YAOGAN-30 H           74.7 15.0  ecl  1900 142.2  44.7

2023-11-07 16:32:15 YAOGAN-30 AA         317.6 15.0  ecl  1900 142.2  44.7
2023-11-07 16:35:36 YAOGAN-30 AA          25.7 43.0  ecl  1900 142.2  44.7
2023-11-07 16:38:58 YAOGAN-30 AA          93.6 15.0  ecl  1900 142.2  44.7

2023-11-07 17:00:30 YAOGAN-36 05A        177.7 15.0  ecl  1900 142.2  44.7
2023-11-07 17:02:14 YAOGAN-36 05A        143.5 19.7  ecl  1900 142.2  44.7
2023-11-07 17:03:58 YAOGAN-36 05A        109.4 15.0  ecl  1900 142.2  44.7

2023-11-07 17:07:38 57629_OBJECT D       139.7 15.0  ecl  1900 142.2  44.7
2023-11-07 17:08:18 57629_OBJECT D       130.1 15.4  ecl  1900 142.2  44.7
2023-11-07 17:08:59 57629_OBJECT D       120.6 15.0  ecl  1900 142.2  44.7

2023-11-07 17:09:29 YAOGAN-35 04B        199.3 15.0  ecl  1900 142.2  44.7
2023-11-07 17:11:58 YAOGAN-35 04B        145.0 29.4  ecl  1900 142.2  44.7
2023-11-07 17:14:27 YAOGAN-35 04B         90.6 15.0  ecl  1900 142.2  44.7

2023-11-07 17:09:29 YAOGAN-35 04B        199.3 15.0  ecl  1900 142.2  44.7
2023-11-07 17:11:58 YAOGAN-35 04B        145.0 29.4  ecl  1900 142.2  44.7
2023-11-07 17:14:27 YAOGAN-35 04B         90.6 15.0  ecl  1900 142.2  44.7

2023-11-07 17:24:23 YAOGAN-36 05C        202.1 15.0  ecl  1900 142.2  44.7
2023-11-07 17:26:59 YAOGAN-36 05C        145.1 31.5  ecl  1900 142.2  44.7
2023-11-07 17:29:36 YAOGAN-36 05C         88.2 15.0  ecl  1900 142.2  44.7

2023-11-07 17:35:24 57628_OBJECT C       183.1 15.0  ecl  1900 142.2  44.7
2023-11-07 17:38:36 57628_OBJECT C       132.0 28.3  ecl  1900 142.2  44.7
2023-11-07 17:41:49 57628_OBJECT C        80.9 15.0  ecl  1900 142.2  44.7

2023-11-07 17:39:58 YUNHAI 1-02           97.7 15.0  ecl  1900 142.2  44.7
2023-11-07 17:41:52 YUNHAI 1-02           71.3 18.1  ecl  1900 142.2  44.7
2023-11-07 17:43:46 YUNHAI 1-02           45.0 15.0  ecl  1900 142.2  44.7

2023-11-07 17:43:18 YAOGAN-36 05B        216.8 15.0  ecl  1900 142.2  44.7
2023-11-07 17:46:13 YAOGAN-36 05B        146.6 46.1  ecl  1900 142.2  44.7
2023-11-07 17:49:08 YAOGAN-36 05B         76.5 15.0  ecl  1900 142.2  44.7

2023-11-07 17:53:50 57627_OBJECT B       198.7 15.0  ecl  1900 142.2  44.7
2023-11-07 17:57:36 57627_OBJECT B       133.3 41.2  ecl  1900 142.2  44.7
2023-11-07 18:01:22 57627_OBJECT B        68.1 15.0  ecl  1900 142.2  44.7

2023-11-07 18:07:51 57626_OBJECT A       209.2 15.0  ecl  1900 142.2  44.7
2023-11-07 18:11:50 57626_OBJECT A       134.4 55.3  ecl  1900 142.2  44.7
2023-11-07 18:15:51 57626_OBJECT A        59.8 15.0  ecl  1900 142.2  44.7

2023-11-07 18:38:43 YAOGAN-36 05A        255.9 15.0  ecl  1900 142.2  44.7
