Satellite passes / Orbitron 3.71 / www.stoff.pl

Location      : HN (105.5239° E, 20.9798° N)
Time zone     : UTC +7:00
Search period : 2023-11-06 08:18:48 - 1 days
                2023-11-07 08:18:48
Conditions    : Maximum sun elevation = None
                Minimum sat elevation = 15 deg
                Illumination NOT required

Time                Satellite              Azm  Elv  Mag Range S.Azm S.Elv
2023-11-08 01:42:15 YAOGAN-33 03         273.3 15.0  ecl  1900 142.2  44.7

2023-11-08 01:51:52 YAOGAN-33 04          53.9 15.0  ecl  1900 142.2  44.7
2023-11-08 01:54:36 YAOGAN-33 04          98.3 24.3  ecl  1900 142.2  44.7
2023-11-08 01:57:19 YAOGAN-33 04         142.7 15.0  ecl  1900 142.2  44.7

2023-11-08 02:14:48 HEAD-3E              346.0 15.0  ecl  1900 142.2  44.7
2023-11-08 02:17:59 HEAD-3E               35.9 27.2  ecl  1900 142.2  44.7
2023-11-08 02:21:10 HEAD-3E               85.7 15.0  ecl  1900 142.2  44.7

2023-11-08 02:16:34 HEAD-3C              346.6 15.0  ecl  1900 142.2  44.7
2023-11-08 02:19:43 HEAD-3C               35.8 26.7  ecl  1900 142.2  44.7
2023-11-08 02:22:52 HEAD-3C               84.8 15.0  ecl  1900 142.2  44.7

2023-11-08 02:22:10 HEAD-3A              345.2 15.0  ecl  1900 142.2  44.7
2023-11-08 02:25:25 HEAD-3A               36.1 27.8  ecl  1900 142.2  44.7
2023-11-08 02:28:40 HEAD-3A               86.9 15.0  ecl  1900 142.2  44.7

2023-11-08 02:24:47 HAIYANG 1D           333.3 15.0  ecl  1900 142.2  44.7
2023-11-08 02:27:52 HAIYANG 1D           287.3 25.7  ecl  1900 142.2  44.7
2023-11-08 02:30:57 HAIYANG 1D           241.2 15.0  ecl  1900 142.2  44.7

2023-11-08 03:04:16 HEAD-3B              322.9 15.0  ecl  1900 142.2  44.7
2023-11-08 03:08:23 HEAD-3B               41.3 61.1  ecl  1900 142.2  44.7
2023-11-08 03:12:30 HEAD-3B              119.6 15.0  ecl  1900 142.2  44.7

2023-11-08 03:10:38 HEAD-3D              318.4 15.0  ecl  1900 142.2  44.7
2023-11-08 03:14:48 HEAD-3D               42.3 73.2  ecl  1900 142.2  44.7
2023-11-08 03:18:57 HEAD-3D              126.0 15.0  ecl  1900 142.2  44.7

2023-11-08 03:29:46 YAOGAN-33 04         321.5 15.0  ecl  1900 142.2  44.7
2023-11-08 03:31:58 YAOGAN-33 04         287.2 20.3  ecl  1900 142.2  44.7
2023-11-08 03:34:09 YAOGAN-33 04         252.9 15.0  ecl  1900 142.2  44.7

2023-11-08 03:57:48 HEAD-3E              292.3 15.0  ecl  1900 142.2  44.7
2023-11-08 04:01:36 HEAD-3E              226.6 41.8  ecl  1900 142.2  44.7
2023-11-08 04:05:24 HEAD-3E              160.8 15.0  ecl  1900 142.2  44.7

2023-11-08 03:59:36 HEAD-3C              293.1 15.0  ecl  1900 142.2  44.7
2023-11-08 04:03:26 HEAD-3C              226.5 43.0  ecl  1900 142.2  44.7
2023-11-08 04:07:17 HEAD-3C              159.8 15.0  ecl  1900 142.2  44.7

2023-11-08 04:05:25 HEAD-3A              291.7 15.0  ecl  1900 142.2  44.7
2023-11-08 04:09:14 HEAD-3A              226.7 41.0  ecl  1900 142.2  44.7
2023-11-08 04:13:02 HEAD-3A              161.6 15.0  ecl  1900 142.2  44.7

2023-11-08 04:50:22 HEAD-3B              249.7 15.0  ecl  1900 142.2  44.7
2023-11-08 04:51:47 HEAD-3B              229.7 16.7  ecl  1900 142.2  44.7
2023-11-08 04:53:12 HEAD-3B              209.7 15.0  ecl  1900 142.2  44.7

2023-11-08 05:37:54 YAOGAN-37            349.5 15.0  ecl  1900 142.2  44.7
2023-11-08 05:40:11 YAOGAN-37             34.3 23.8  ecl  1900 142.2  44.7
2023-11-08 05:42:28 YAOGAN-37             79.1 15.0  ecl  1900 142.2  44.7

